Row Labels,Count of STREET
QUINCY ST,3
ELLINGWOOD ST,3
REED ST,3
COOLIDGE RD,3
RESERVATION RD,3
WILLIAM F MCCLELLAN HWY,3
CENTRAL AVE,3
HOLYOKE ST,3
GAY HEAD ST,3
WINSHIP ST,3
E BROOKLINE ST,3
WOODBOLE AVE,3
ROWE ST,3
HOUGHTON ST,3
ROYCE RD,3
GLENCOE ST,3
CORDIS ST,3
COREY RD,3
MONUMENT ST,3
WESTERLY ST,2
THETFORD AVE,2
AUCKLAND ST,2
MEADOWBANK AVE,2
W COTTAGE ST,2
MEDFIELD ST,2
FAIRLAND ST,2
BARRINGTON RD,2
STRATTON ST,2
CUMBERLAND ST,2
KEARSARGE AVE,2
BELLFLOWER ST,2
ACKLEY PL,2
BELLVISTA RD,2
WINTON ST,2
GARDENA ST,2
SCHUYLER ST,2
MERRIMAC ST,2
HOLTON ST,2
MESHAKA ST,2
SUTTON ST,2
BROWN AVE,2
TRAIN ST,2
CORINTH ST,2
VINE ST,2
BENNET ST,2
COLONIAL AVE,2
MILTON ST,2
FORT AVE,2
BARROWS ST,2
ADAIR RD,2
MISSION ST,2
FREDERIKA ST,2
MOHAWK ST,2
SARGENT ST,2
BARRY ST,2
SEMONT RD,2
DEARBORN ST,2
HOLMAN ST,2
COURTLAND RD,2
FATHER FRANCIS J GILDAY S,2
MONSIGNOR DENNIS F O'CALL,2
SUMMER ST,2
GENERAL WILLIAM H DEVINE,2
IRWIN AVE,2
MONTGOMERY ST,2
FIRST AVE,2
DELHI ST,2
TRULL ST,2
MONUMENT SQ,2
CORONA ST,2
WYOMING ST,2
DAVISON ST,2
ALLERTON ST,2
COLEMAN ST,2
MORAINE ST,2
LAWRENCE AVE,2
MORELAND ST,2
LENOX ST,2
EDSON ST,2
ASHLEY ST,2
MORRIS ST,2
LORENZO ST,2
MORROW RD,2
WILLIS ST,2
MOSGROVE AVE,2
BROMFIELD ST,2
MOUNT EVERETT ST,2
MAVERICK SQ,2
GLENROSE RD,2
ALPHA RD,2
GLENWAY ST,2
HIGH ROCK WAY,2
MOUNT IDA RD,2
HILL TOP ST,2
BEVERLY ST,2
SHANNON ST,2
EIGHTH ST,2
SHIRLEY ST,2
MYRICK ST,2
SPALDING ST,2
MYRTLEBANK AVE,2
SPRING PARK AVE,2
BURR ST,2
HOWES ST,2
N BENNET ST,2
HOWLAND ST,2
BURROUGHS ST,2
BOUTWELL ST,2
GOODALE RD,2
COURT ST,2
ELLINGTON ST,2
IVORY ST,2
GORDON AVE,2
TICKNOR ST,2
NASHUA ST,2
TOWER ST,2
GORHAM ST,2
TREADWAY RD,2
GRAFTON ST,2
CROSS ST,2
DENBY RD,2
CROWELL ST,2
NEEDHAM RD,2
VERRILL ST,2
ELMHURST ST,2
FORD ST,2
NEW ENGLAND AVE,2
KNOWLTON ST,2
ATLANTIC ST,2
LAMSON ST,2
NEW SUDBURY ST,2
DAWES ST,2
NEWCASTLE RD,2
LAWN ST,2
NEWCOMB ST,2
WALDEN ST,2
GREENBRIER ST,2
BRAINTREE ST,2
GREENFIELD RD,2
WASHBURN ST,2
DEVONSHIRE PL,2
LITCHFIELD ST,2
NIXON ST,2
LOGAN ST,2
NONANTUM ST,2
BREED ST,2
NORFOLK AVE,2
WHITMAN ST,2
BUTTONWOOD ST,2
MANNING ST,2
CUNARD ST,2
MARCH AVE,2
GRIGGS ST,2
WOOD ST,2
NOTTINGHAM ST,2
MARYLAND ST,2
CABOT ST,2
COPENGER ST,2
OAK SQUARE AVE,2
MCKONE ST,2
OAK ST,2
BLOSSOM ST,2
OAK ST W,2
SANTUIT ST,2
BAXTER ST,2
FAIRMOUNT AVE,2
CAMDEN ST,2
CHENEY ST,2
CAMERON ST,2
SEAPORT BLVD,2
PARISH ST,2
HILLSBORO RD,2
CANAL ST,2
CHESTERFIELD ST,2
DICKINSON RD,2
ARCH ST,2
CANTERBURY ST,2
ARCHDALE RD,2
CYGNET ST,2
HOLBORN ST,2
BIRCH ST,2
SOUTHAMPTON ST,2
ERNST ST,2
SPARHAWK ST,2
CRAWFORD ST,2
FARRINGTON AVE,2
HAMMOND ST,2
CHISWICK TER,2
HAMPDEN ST,2
AUSTIN ST,2
PAYSON AVE,2
CHRISTOPHER ST,2
CAROLINA AVE,2
CHURCH ST,2
